row_y,left_x,right_x,center_x,fitted_center_x,width,center_residual
0,323.0,327.0,325.0,326.380615234375,5.0,-1.380615234375
1,322.0,327.0,324.5,326.51080322265625,6.0,-2.01080322265625
2,322.0,327.0,324.5,326.6410217285156,6.0,-2.141021728515625
3,322.0,327.0,324.5,326.7712097167969,6.0,-2.271209716796875
4,322.0,327.0,324.5,326.90142822265625,6.0,-2.40142822265625
5,322.0,327.0,324.5,327.0316467285156,6.0,-2.531646728515625
6,322.0,327.0,324.5,327.1618347167969,6.0,-2.661834716796875
7,322.0,327.0,324.5,327.29205322265625,6.0,-2.79205322265625
8,322.0,327.0,324.5,327.4222412109375,6.0,-2.9222412109375
9,322.0,327.0,324.5,327.5524597167969,6.0,-3.052459716796875
10,322.0,327.0,324.5,327.68267822265625,6.0,-3.18267822265625
11,322.0,326.0,324.0,327.8128662109375,5.0,-3.8128662109375
12,322.0,326.0,324.0,327.9430847167969,5.0,-3.943084716796875
13,322.0,326.0,324.0,328.0732727050781,5.0,-4.073272705078125
14,322.0,326.0,324.0,328.2034912109375,5.0,-4.2034912109375
15,322.0,326.0,324.0,328.3337097167969,5.0,-4.333709716796875
16,322.0,326.0,324.0,328.4638977050781,5.0,-4.463897705078125
17,322.0,326.0,324.0,328.5941162109375,5.0,-4.5941162109375
18,322.0,326.0,324.0,328.72430419921875,5.0,-4.72430419921875
19,322.0,326.0,324.0,328.8545227050781,5.0,-4.854522705078125
20,322.0,326.0,324.0,328.9847412109375,5.0,-4.9847412109375
21,322.0,326.0,324.0,329.11492919921875,5.0,-5.11492919921875
22,322.0,325.0,323.5,329.2451477050781,4.0,-5.745147705078125
23,322.0,325.0,323.5,329.3753356933594,4.0,-5.875335693359375
24,322.0,325.0,323.5,329.50555419921875,4.0,-6.00555419921875
25,321.0,325.0,323.0,329.6357421875,5.0,-6.6357421875
26,321.0,325.0,323.0,329.7659606933594,5.0,-6.765960693359375
27,321.0,325.0,323.0,329.89617919921875,5.0,-6.89617919921875
28,321.0,325.0,323.0,330.0263671875,5.0,-7.0263671875
29,321.0,325.0,323.0,330.1565856933594,5.0,-7.156585693359375
30,322.0,325.0,323.5,330.2867736816406,4.0,-6.786773681640625
31,322.0,325.0,323.5,330.4169921875,4.0,-6.9169921875
32,322.0,325.0,323.5,330.5472106933594,4.0,-7.047210693359375
33,322.0,325.0,323.5,330.6773986816406,4.0,-7.177398681640625
34,322.0,325.0,323.5,330.8076171875,4.0,-7.3076171875
35,322.0,325.0,323.5,330.93780517578125,4.0,-7.43780517578125
36,322.0,325.0,323.5,331.0680236816406,4.0,-7.568023681640625
37,322.0,325.0,323.5,331.1982421875,4.0,-7.6982421875
38,322.0,325.0,323.5,331.32843017578125,4.0,-7.82843017578125
39,322.0,325.0,323.5,331.4586486816406,4.0,-7.958648681640625
40,322.0,325.0,323.5,331.5888366699219,4.0,-8.088836669921875
41,322.0,325.0,323.5,331.71905517578125,4.0,-8.21905517578125
42,322.0,325.0,323.5,331.8492736816406,4.0,-8.349273681640625
43,322.0,325.0,323.5,331.9794616699219,4.0,-8.479461669921875
44,323.0,326.0,324.5,332.10968017578125,4.0,-7.60968017578125
45,323.0,326.0,324.5,332.2398681640625,4.0,-7.7398681640625
46,323.0,326.0,324.5,332.3700866699219,4.0,-7.870086669921875
47,323.0,326.0,324.5,332.50030517578125,4.0,-8.00030517578125
48,323.0,326.0,324.5,332.6304931640625,4.0,-8.1304931640625
49,323.0,326.0,324.5,332.7607116699219,4.0,-8.260711669921875
50,323.0,326.0,324.5,332.8908996582031,4.0,-8.390899658203125
51,323.0,327.0,325.0,333.0211181640625,5.0,-8.0211181640625
52,324.0,327.0,325.5,333.1513366699219,4.0,-7.651336669921875
53,324.0,327.0,325.5,333.2815246582031,4.0,-7.781524658203125
54,324.0,327.0,325.5,333.4117431640625,4.0,-7.9117431640625
55,324.0,327.0,325.5,333.54193115234375,4.0,-8.04193115234375
56,324.0,328.0,326.0,333.6721496582031,5.0,-7.672149658203125
57,325.0,328.0,326.5,333.8023681640625,4.0,-7.3023681640625
58,325.0,328.0,326.5,333.93255615234375,4.0,-7.43255615234375
59,325.0,328.0,326.5,334.0627746582031,4.0,-7.562774658203125
60,325.0,329.0,327.0,334.1929626464844,5.0,-7.192962646484375
61,326.0,329.0,327.5,334.32318115234375,4.0,-6.82318115234375
62,326.0,329.0,327.5,334.453369140625,4.0,-6.953369140625
63,326.0,329.0,327.5,334.5835876464844,4.0,-7.083587646484375
64,326.0,330.0,328.0,334.71380615234375,5.0,-6.71380615234375
65,327.0,330.0,328.5,334.843994140625,4.0,-6.343994140625
66,327.0,331.0,329.0,334.9742126464844,5.0,-5.974212646484375
67,327.0,331.0,329.0,335.1044006347656,5.0,-6.104400634765625
68,328.0,331.0,329.5,335.234619140625,4.0,-5.734619140625
69,328.0,331.0,329.5,335.3648376464844,4.0,-5.864837646484375
70,328.0,332.0,330.0,335.4950256347656,5.0,-5.495025634765625
71,328.0,332.0,330.0,335.625244140625,5.0,-5.625244140625
72,329.0,332.0,330.5,335.75543212890625,4.0,-5.25543212890625
73,329.0,333.0,331.0,335.8856506347656,5.0,-4.885650634765625
74,329.0,333.0,331.0,336.015869140625,5.0,-5.015869140625
75,330.0,333.0,331.5,336.14605712890625,4.0,-4.64605712890625
76,330.0,334.0,332.0,336.2762756347656,5.0,-4.276275634765625
77,330.0,334.0,332.0,336.4064636230469,5.0,-4.406463623046875
78,331.0,335.0,333.0,336.53668212890625,5.0,-3.53668212890625
79,331.0,335.0,333.0,336.6669006347656,5.0,-3.666900634765625
80,332.0,336.0,334.0,336.7970886230469,5.0,-2.797088623046875
81,332.0,336.0,334.0,336.92730712890625,5.0,-2.92730712890625
82,332.0,336.0,334.0,337.0574951171875,5.0,-3.0574951171875
83,333.0,337.0,335.0,337.1877136230469,5.0,-2.187713623046875
84,333.0,337.0,335.0,337.31793212890625,5.0,-2.31793212890625
85,333.0,338.0,335.5,337.4481201171875,6.0,-1.9481201171875
86,334.0,338.0,336.0,337.5783386230469,5.0,-1.578338623046875
87,334.0,339.0,336.5,337.7085266113281,6.0,-1.208526611328125
88,335.0,339.0,337.0,337.8387451171875,5.0,-0.8387451171875
89,335.0,339.0,337.0,337.9689636230469,5.0,-0.968963623046875
90,335.0,340.0,337.5,338.0991516113281,6.0,-0.599151611328125
91,336.0,340.0,338.0,338.2293701171875,5.0,-0.2293701171875
92,336.0,340.0,338.0,338.35955810546875,5.0,-0.35955810546875
93,337.0,341.0,339.0,338.4897766113281,5.0,0.510223388671875
94,337.0,342.0,339.5,338.6199951171875,6.0,0.8800048828125
95,338.0,342.0,340.0,338.75018310546875,5.0,1.24981689453125
96,338.0,343.0,340.5,338.8804016113281,6.0,1.619598388671875
97,338.0,343.0,340.5,339.0105895996094,6.0,1.489410400390625
98,339.0,343.0,341.0,339.14080810546875,5.0,1.85919189453125
99,339.0,344.0,341.5,339.2710266113281,6.0,2.228973388671875
