row_y,left_x,right_x,center_x,fitted_center_x,width,center_residual
71,508.0,511.0,509.5,512.9107666015625,4.0,-3.4107666015625
72,507.0,511.0,509.0,511.8883056640625,5.0,-2.8883056640625
73,506.0,511.0,508.5,510.8658447265625,6.0,-2.3658447265625
74,505.0,510.0,507.5,509.8434143066406,6.0,-2.343414306640625
75,504.0,510.0,507.0,508.8209533691406,7.0,-1.820953369140625
76,503.0,509.0,506.0,507.79852294921875,7.0,-1.79852294921875
77,502.0,508.0,505.0,506.77606201171875,7.0,-1.77606201171875
78,501.0,507.0,504.0,505.7536315917969,7.0,-1.753631591796875
79,500.0,506.0,503.0,504.731201171875,7.0,-1.731201171875
80,499.0,504.0,501.5,503.708740234375,6.0,-2.208740234375
81,498.0,503.0,500.5,502.6863098144531,6.0,-2.186309814453125
82,497.0,502.0,499.5,501.6638488769531,6.0,-2.163848876953125
83,496.0,501.0,498.5,500.64141845703125,6.0,-2.14141845703125
84,495.0,500.0,497.5,499.61895751953125,6.0,-2.11895751953125
85,493.0,499.0,496.0,498.5965270996094,7.0,-2.596527099609375
86,492.0,498.0,495.0,497.5740661621094,7.0,-2.574066162109375
87,491.0,497.0,494.0,496.5516357421875,7.0,-2.5516357421875
88,490.0,496.0,493.0,495.5291748046875,7.0,-2.5291748046875
89,489.0,495.0,492.0,494.5067443847656,7.0,-2.506744384765625
90,488.0,494.0,491.0,493.4842834472656,7.0,-2.484283447265625
91,487.0,493.0,490.0,492.46185302734375,7.0,-2.46185302734375
92,486.0,492.0,489.0,491.43939208984375,7.0,-2.43939208984375
93,485.0,490.0,487.5,490.4169616699219,6.0,-2.916961669921875
94,483.0,489.0,486.0,489.3945007324219,7.0,-3.394500732421875
95,482.0,488.0,485.0,488.3720703125,7.0,-3.3720703125
96,481.0,487.0,484.0,487.349609375,7.0,-3.349609375
97,480.0,486.0,483.0,486.3271789550781,7.0,-3.327178955078125
98,479.0,485.0,482.0,485.3047180175781,7.0,-3.304718017578125
99,478.0,484.0,481.0,484.28228759765625,7.0,-3.28228759765625
100,477.0,483.0,480.0,483.2598571777344,7.0,-3.259857177734375
101,476.0,482.0,479.0,482.2373962402344,7.0,-3.237396240234375
102,475.0,481.0,478.0,481.2149658203125,7.0,-3.2149658203125
103,473.0,480.0,476.5,480.1925048828125,8.0,-3.6925048828125
104,472.0,479.0,475.5,479.1700744628906,8.0,-3.670074462890625
105,471.0,478.0,474.5,478.1476135253906,8.0,-3.647613525390625
106,470.0,477.0,473.5,477.12518310546875,8.0,-3.62518310546875
107,469.0,476.0,472.5,476.10272216796875,8.0,-3.60272216796875
108,468.0,475.0,471.5,475.0802917480469,8.0,-3.580291748046875
109,467.0,474.0,470.5,474.0578308105469,8.0,-3.557830810546875
110,466.0,472.0,469.0,473.035400390625,7.0,-4.035400390625
111,465.0,471.0,468.0,472.012939453125,7.0,-4.012939453125
112,463.0,471.0,467.0,470.9905090332031,9.0,-3.990509033203125
113,462.0,470.0,466.0,469.9680480957031,9.0,-3.968048095703125
114,461.0,469.0,465.0,468.94561767578125,9.0,-3.94561767578125
115,460.0,467.0,463.5,467.92315673828125,8.0,-4.42315673828125
116,459.0,466.0,462.5,466.9007263183594,8.0,-4.400726318359375
117,459.0,465.0,462.0,465.8782653808594,7.0,-3.878265380859375
118,457.0,464.0,460.5,464.8558349609375,8.0,-4.3558349609375
119,456.0,463.0,459.5,463.8334045410156,8.0,-4.333404541015625
120,455.0,462.0,458.5,462.8109436035156,8.0,-4.310943603515625
121,454.0,461.0,457.5,461.78851318359375,8.0,-4.28851318359375
122,453.0,460.0,456.5,460.76605224609375,8.0,-4.26605224609375
123,452.0,459.0,455.5,459.7436218261719,8.0,-4.243621826171875
124,451.0,458.0,454.5,458.7211608886719,8.0,-4.221160888671875
125,450.0,457.0,453.5,457.69873046875,8.0,-4.19873046875
126,449.0,456.0,452.5,456.67626953125,8.0,-4.17626953125
127,448.0,455.0,451.5,455.6538391113281,8.0,-4.153839111328125
128,447.0,454.0,450.5,454.6313781738281,8.0,-4.131378173828125
129,446.0,453.0,449.5,453.60894775390625,8.0,-4.10894775390625
130,445.0,452.0,448.5,452.58648681640625,8.0,-4.08648681640625
131,444.0,451.0,447.5,451.5640563964844,8.0,-4.064056396484375
132,443.0,450.0,446.5,450.5415954589844,8.0,-4.041595458984375
133,442.0,449.0,445.5,449.5191650390625,8.0,-4.0191650390625
134,441.0,448.0,444.5,448.4967041015625,8.0,-3.9967041015625
135,440.0,447.0,443.5,447.4742736816406,8.0,-3.974273681640625
136,439.0,445.0,442.0,446.4518127441406,7.0,-4.451812744140625
137,438.0,445.0,441.5,445.42938232421875,8.0,-3.92938232421875
138,437.0,444.0,440.5,444.4069519042969,8.0,-3.906951904296875
139,436.0,443.0,439.5,443.3844909667969,8.0,-3.884490966796875
